date,Status,Branch,Value
2015-09-01,C,FR1,70
2015-09-01,UE,FR1,15
2015-10-01,C,FR1,798
2015-10-01,C,IT2,301
2015-10-01,C,SP3,34
2015-10-01,UE,FR1,60
2015-10-01,UE,SP3,3
2015-11-01,C,FR1,1348
2015-11-01,C,GE4,27
2015-11-01,C,HK5,178
2015-11-01,C,IT2,218
2015-11-01,C,SP3,72
2015-11-01,EE,HK5,24
2015-11-01,UE,FR1,96
2015-11-01,UE,GE4,15
2015-11-01,UE,HK5,16
2015-11-01,UE,IT2,1
2015-11-01,UE,SP3,5
2015-12-01,C,FR1,802
2015-12-01,C,GE4,124
2015-12-01,C,HK5,718
2015-12-01,C,IT2,394
2015-12-01,C,SP3,112
2015-12-01,EE,HK5,63
2015-12-01,UE,FR1,53
2015-12-01,UE,GE4,3
2015-12-01,UE,HK5,19
2015-12-01,UE,IT2,1
2015-12-01,UE,SP3,7
2016-01-01,C,FR1,225
2016-01-01,C,GE4,360
2016-01-01,C,HK5,2705
2016-01-01,C,IT2,335
2016-01-01,C,SP3,88
2016-01-01,EE,HK5,197
2016-01-01,UE,FR1,30
2016-01-01,UE,GE4,27
2016-01-01,UE,HK5,140
2016-01-01,UE,IT2,2
2016-01-01,UE,SP3,3
2016-02-01,C,FR1,208
2016-02-01,C,GE4,408
2016-02-01,C,HK5,3073
2016-02-01,C,IT2,332
2016-02-01,C,SP3,114
2016-02-01,EE,HK5,218
2016-02-01,UE,FR1,23
2016-02-01,UE,GE4,4
2016-02-01,UE,HK5,83
2016-02-01,UE,IT2,16
2016-02-01,UE,SP3,6
2016-03-01,C,FR1,163
2016-03-01,C,GE4,3293
2016-03-01,C,HK5,887
2016-03-01,C,IT2,347
2016-03-01,C,SP3,101
2016-03-01,EE,HK5,51
2016-03-01,UE,FR1,38
2016-03-01,UE,GE4,11
2016-03-01,UE,HK5,343
2016-03-01,UE,IT2,1
2016-03-01,UE,SP3,13
2016-04-01,C,FR1,228
2016-04-01,C,GE4,3684
2016-04-01,C,HK5,2439
2016-04-01,C,IT2,450
2016-04-01,C,SP3,102
2016-04-01,EE,HK5,1282
2016-04-01,UE,FR1,25
2016-04-01,UE,GE4,53
2016-04-01,UE,HK5,985
2016-04-01,UE,IT2,3
2016-04-01,UE,SP3,11
2016-05-01,C,FR1,534
2016-05-01,C,GE4,5290
2016-05-01,C,HK5,5995
2016-05-01,C,IT2,623
2016-05-01,C,SP3,104
2016-05-01,EE,HK5,377
2016-05-01,UE,FR1,90
2016-05-01,UE,GE4,24
2016-05-01,UE,HK5,4142
2016-05-01,UE,IT2,4
2016-05-01,UE,SP3,9
2016-06-01,C,FR1,1419
2016-06-01,C,GE4,3369
2016-06-01,C,HK5,6737
2016-06-01,C,IT2,539
2016-06-01,C,SP3,111
2016-06-01,EE,GE4,921
2016-06-01,EE,HK5,506
2016-06-01,UE,FR1,78
2016-06-01,UE,GE4,411
2016-06-01,UE,HK5,1098
2016-06-01,UE,SP3,4
2016-07-01,C,FR1,506
2016-07-01,C,GE4,3484
2016-07-01,C,HK5,6959
2016-07-01,C,IT2,779
2016-07-01,C,SP3,114
2016-07-01,EE,GE4,1029
2016-07-01,EE,HK5,777
2016-07-01,UE,FR1,21
2016-07-01,UE,GE4,288
2016-07-01,UE,HK5,990
2016-07-01,UE,IT2,6
2016-08-01,C,FR1,164
2016-08-01,C,GE4,2893
2016-08-01,C,HK5,7552
2016-08-01,C,IT2,281
2016-08-01,C,SP3,48
2016-08-01,EE,GE4,965
2016-08-01,EE,HK5,733
2016-08-01,UE,FR1,41
2016-08-01,UE,GE4,338
2016-08-01,UE,HK5,442
2016-08-01,UE,IT2,22
2016-11-01,C,FR1,786
2016-11-01,C,GE4,1975
2016-11-01,C,HK5,35
2016-11-01,C,IT2,251
2016-11-01,EE,GE4,727
2016-11-01,EE,HK5,133
2016-11-01,EE,IT2,40
2016-11-01,UE,FR1,46
2016-11-01,UE,GE4,88
2016-11-01,UE,HK5,6
2016-11-01,UE,IT2,8
2016-12-01,C,FR1,1063
2016-12-01,C,GE4,3627
2016-12-01,C,HK5,4274
2016-12-01,C,IT2,361
2016-12-01,C,SP3,21
2016-12-01,EE,GE4,1276
2016-12-01,EE,HK5,551
2016-12-01,EE,IT2,97
2016-12-01,UE,FR1,60
2016-12-01,UE,GE4,140
2016-12-01,UE,HK5,99
2016-12-01,UE,IT2,38
2016-12-01,UE,SP3,9
2017-01-01,C,FR1,577
2017-01-01,C,GE4,4197
2017-01-01,C,HK5,5516
2017-01-01,C,IT2,376
2017-01-01,C,SP3,82
2017-01-01,EE,GE4,1583
2017-01-01,EE,HK5,776
2017-01-01,EE,IT2,37
2017-01-01,UE,FR1,56
2017-01-01,UE,GE4,373
