date,Status,Branch,Value
2015-09-01,C,FR1,70
2015-09-01,UE,FR1,15
2015-10-01,C,FR1,798
2015-10-01,UE,FR1,60
2015-11-01,C,FR1,1348
2015-11-01,UE,FR1,96
2015-12-01,C,FR1,802
2015-12-01,UE,FR1,53
2016-01-01,C,FR1,225
2016-01-01,UE,FR1,30
2016-02-01,C,FR1,208
2016-02-01,UE,FR1,23
2016-03-01,C,FR1,163
2016-03-01,UE,FR1,38
2016-04-01,C,FR1,228
2016-04-01,UE,FR1,25
2016-05-01,C,FR1,534
2016-05-01,UE,FR1,90
2016-06-01,C,FR1,1419
2016-06-01,UE,FR1,78
2016-07-01,C,FR1,506
2016-07-01,UE,FR1,21
2016-08-01,C,FR1,164
2016-08-01,UE,FR1,41
2016-11-01,C,FR1,786
2016-11-01,UE,FR1,46
2016-12-01,C,FR1,1063
2016-12-01,UE,FR1,60
2017-01-01,C,FR1,577
2017-01-01,UE,FR1,56
2017-02-01,C,FR1,474
2017-02-01,UE,FR1,53
2017-03-01,C,FR1,239
2017-03-01,UE,FR1,10
2017-04-01,C,FR1,577
2017-04-01,UE,FR1,25
2017-05-01,C,FR1,460
2017-05-01,UE,FR1,15
2017-06-01,C,FR1,917
2017-06-01,UE,FR1,39
2017-07-01,C,FR1,406
2017-07-01,UE,FR1,14
2017-08-01,C,FR1,374
2017-08-01,UE,FR1,22
2017-09-01,C,FR1,354
2017-09-01,UE,FR1,17
2017-10-01,C,FR1,2165
2017-10-01,UE,FR1,206
2017-11-01,C,FR1,1895
2017-11-01,UE,FR1,96
2017-12-01,C,FR1,307
2017-12-01,UE,FR1,53
2018-01-01,C,FR1,534
2018-01-01,UE,FR1,47
2018-02-01,C,FR1,420
2018-02-01,UE,FR1,47
2018-03-01,C,FR1,522
2018-03-01,UE,FR1,37
2018-04-01,C,FR1,733
2018-04-01,UE,FR1,75
2018-05-01,C,FR1,532
2018-05-01,UE,FR1,40
2018-06-01,C,FR1,529
2018-06-01,UE,FR1,33
2018-07-01,C,FR1,302
2018-07-01,UE,FR1,31
2018-08-01,C,FR1,329
2018-08-01,UE,FR1,41
2018-09-01,C,FR1,1547
2018-09-01,UE,FR1,96
2018-10-01,C,FR1,2270
2018-10-01,UE,FR1,153
2018-11-01,C,FR1,737
2018-11-01,UE,FR1,47
2018-12-01,C,FR1,454
2018-12-01,UE,FR1,32
2019-01-01,C,FR1,508
2019-01-01,UE,FR1,41
2019-02-01,C,FR1,642
2019-02-01,UE,FR1,42
2019-03-01,C,FR1,760
2019-03-01,UE,FR1,37
2019-04-01,C,FR1,910
2019-04-01,UE,FR1,74
2019-05-01,C,FR1,1852
2019-05-01,UE,FR1,128
2019-06-01,C,FR1,310
2019-06-01,UE,FR1,5
