date,Value
2015-09-01,85
2015-10-01,858
2015-11-01,1444
2015-12-01,855
2016-01-01,255
2016-02-01,231
2016-03-01,201
2016-04-01,253
2016-05-01,624
2016-06-01,1497
2016-07-01,527
2016-08-01,205
2016-11-01,832
2016-12-01,1123
2017-01-01,633
2017-02-01,527
2017-03-01,249
2017-04-01,602
2017-05-01,475
2017-06-01,956
2017-07-01,420
2017-08-01,396
2017-09-01,371
2017-10-01,2371
2017-11-01,1991
2017-12-01,360
2018-01-01,581
2018-02-01,467
2018-03-01,559
2018-04-01,808
2018-05-01,572
2018-06-01,562
2018-07-01,333
2018-08-01,370
2018-09-01,1643
2018-10-01,2423
2018-11-01,784
2018-12-01,486
2019-01-01,549
2019-02-01,684
2019-03-01,797
2019-04-01,984
2019-05-01,1980
2019-06-01,315
