date,Value
2015-11-01,42
2015-12-01,127
2016-01-01,387
2016-02-01,412
2016-03-01,3304
2016-04-01,3737
2016-05-01,5314
2016-06-01,4701
2016-07-01,4801
2016-08-01,4196
2016-11-01,2790
2016-12-01,5043
2017-01-01,6153
2017-02-01,5040
2017-03-01,1080
2017-04-01,4817
2017-05-01,4833
2017-06-01,4137
2017-07-01,5215
2017-08-01,4526
2017-09-01,3944
2017-10-01,4748
2017-11-01,4343
2017-12-01,4031
2018-01-01,5542
2018-02-01,4474
2018-03-01,6772
2018-04-01,4830
2018-05-01,4536
2018-06-01,4173
2018-07-01,5408
2018-08-01,4439
2018-09-01,3985
2018-10-01,5626
2018-11-01,6110
2018-12-01,5212
2019-01-01,5007
2019-02-01,4720
2019-03-01,6931
2019-04-01,6605
2019-05-01,6337
