date,Status,Branch,Value
2015-11-01,C,HK5,178
2015-11-01,EE,HK5,24
2015-11-01,UE,HK5,16
2015-12-01,C,HK5,718
2015-12-01,EE,HK5,63
2015-12-01,UE,HK5,19
2016-01-01,C,HK5,2705
2016-01-01,EE,HK5,197
2016-01-01,UE,HK5,140
2016-02-01,C,HK5,3073
2016-02-01,EE,HK5,218
2016-02-01,UE,HK5,83
2016-03-01,C,HK5,887
2016-03-01,EE,HK5,51
2016-03-01,UE,HK5,343
2016-04-01,C,HK5,2439
2016-04-01,EE,HK5,1282
2016-04-01,UE,HK5,985
2016-05-01,C,HK5,5995
2016-05-01,EE,HK5,377
2016-05-01,UE,HK5,4142
2016-06-01,C,HK5,6737
2016-06-01,EE,HK5,506
2016-06-01,UE,HK5,1098
2016-07-01,C,HK5,6959
2016-07-01,EE,HK5,777
2016-07-01,UE,HK5,990
2016-08-01,C,HK5,7552
2016-08-01,EE,HK5,733
2016-08-01,UE,HK5,442
2016-11-01,C,HK5,35
2016-11-01,EE,HK5,133
2016-11-01,UE,HK5,6
2016-12-01,C,HK5,4274
2016-12-01,EE,HK5,551
2016-12-01,UE,HK5,99
2017-01-01,C,HK5,5516
2017-01-01,EE,HK5,776
2017-01-01,UE,HK5,600
2017-02-01,C,HK5,10086
2017-02-01,EE,HK5,1042
2017-02-01,UE,HK5,507
2017-03-01,C,HK5,1249
2017-03-01,EE,HK5,107
2017-03-01,UE,HK5,60
2017-04-01,C,HK5,8346
2017-04-01,EE,HK5,1186
2017-04-01,UE,HK5,259
2017-05-01,C,HK5,12457
2017-05-01,EE,HK5,2244
2017-05-01,UE,HK5,318
2017-06-01,C,HK5,12079
2017-06-01,EE,HK5,1716
2017-06-01,UE,HK5,173
2017-07-01,C,HK5,10142
2017-07-01,EE,HK5,1645
2017-07-01,UE,HK5,288
2017-08-01,C,HK5,8610
2017-08-01,EE,HK5,1109
2017-08-01,UE,HK5,177
2017-09-01,C,HK5,10236
2017-09-01,EE,HK5,712
2017-09-01,UE,HK5,122
2017-10-01,C,HK5,11336
2017-10-01,EE,HK5,815
2017-10-01,UE,HK5,205
2017-11-01,C,HK5,11621
2017-11-01,EE,HK5,847
2017-11-01,UE,HK5,185
2017-12-01,C,HK5,9609
2017-12-01,EE,HK5,949
2017-12-01,UE,HK5,1205
2018-01-01,C,HK5,13501
2018-01-01,EE,HK5,940
2018-01-01,UE,HK5,498
2018-02-01,C,HK5,8977
2018-02-01,EE,HK5,999
2018-02-01,UE,HK5,419
2018-03-01,C,HK5,11260
2018-03-01,EE,HK5,1145
2018-03-01,UE,HK5,1788
2018-04-01,C,HK5,11554
2018-04-01,EE,HK5,868
2018-04-01,UE,HK5,811
2018-05-01,C,HK5,12971
2018-05-01,EE,HK5,976
2018-05-01,UE,HK5,481
2018-06-01,C,HK5,12124
2018-06-01,EE,HK5,1054
2018-06-01,UE,HK5,421
2018-07-01,C,HK5,14614
2018-07-01,EE,HK5,1183
2018-07-01,UE,HK5,883
2018-08-01,C,HK5,13255
2018-08-01,EE,HK5,1060
2018-08-01,UE,HK5,650
2018-09-01,C,HK5,11633
2018-09-01,EE,HK5,1112
2018-09-01,UE,HK5,419
2018-10-01,C,HK5,14711
2018-10-01,EE,HK5,1294
2018-10-01,UE,HK5,491
2018-11-01,C,HK5,12971
2018-11-01,EE,HK5,1186
2018-11-01,UE,HK5,362
2018-12-01,C,HK5,12896
2018-12-01,EE,HK5,1262
2018-12-01,UE,HK5,415
2019-01-01,C,HK5,14748
2019-01-01,EE,HK5,1298
2019-01-01,UE,HK5,515
2019-02-01,C,HK5,9377
2019-02-01,EE,HK5,1429
2019-02-01,UE,HK5,2071
2019-03-01,C,HK5,14203
2019-03-01,EE,HK5,1418
2019-03-01,UE,HK5,1368
2019-04-01,C,HK5,13582
2019-04-01,EE,HK5,1258
2019-04-01,UE,HK5,619
2019-05-01,C,HK5,13852
2019-05-01,EE,HK5,1520
2019-05-01,UE,HK5,418
