date,Value
2015-11-01,218
2015-12-01,800
2016-01-01,3042
2016-02-01,3374
2016-03-01,1281
2016-04-01,4706
2016-05-01,10514
2016-06-01,8341
2016-07-01,8726
2016-08-01,8727
2016-11-01,174
2016-12-01,4924
2017-01-01,6892
2017-02-01,11635
2017-03-01,1416
2017-04-01,9791
2017-05-01,15019
2017-06-01,13968
2017-07-01,12075
2017-08-01,9896
2017-09-01,11070
2017-10-01,12356
2017-11-01,12653
2017-12-01,11763
2018-01-01,14939
2018-02-01,10395
2018-03-01,14193
2018-04-01,13233
2018-05-01,14428
2018-06-01,13599
2018-07-01,16680
2018-08-01,14965
2018-09-01,13164
2018-10-01,16496
2018-11-01,14519
2018-12-01,14573
2019-01-01,16561
2019-02-01,12877
2019-03-01,16989
2019-04-01,15459
2019-05-01,15790
