date,Status,Branch,Value
2015-10-01,C,IT2,301
2015-11-01,C,IT2,218
2015-11-01,UE,IT2,1
2015-12-01,C,IT2,394
2015-12-01,UE,IT2,1
2016-01-01,C,IT2,335
2016-01-01,UE,IT2,2
2016-02-01,C,IT2,332
2016-02-01,UE,IT2,16
2016-03-01,C,IT2,347
2016-03-01,UE,IT2,1
2016-04-01,C,IT2,450
2016-04-01,UE,IT2,3
2016-05-01,C,IT2,623
2016-05-01,UE,IT2,4
2016-06-01,C,IT2,539
2016-07-01,C,IT2,779
2016-07-01,UE,IT2,6
2016-08-01,C,IT2,281
2016-08-01,UE,IT2,22
2016-11-01,C,IT2,251
2016-11-01,EE,IT2,40
2016-11-01,UE,IT2,8
2016-12-01,C,IT2,361
2016-12-01,EE,IT2,97
2016-12-01,UE,IT2,38
2017-01-01,C,IT2,376
2017-01-01,EE,IT2,37
2017-01-01,UE,IT2,36
2017-02-01,C,IT2,423
2017-02-01,EE,IT2,37
2017-02-01,UE,IT2,57
2017-03-01,C,IT2,88
2017-03-01,EE,IT2,32
2017-03-01,UE,IT2,2
2017-04-01,C,IT2,291
2017-04-01,EE,IT2,63
2017-04-01,UE,IT2,102
2017-05-01,C,IT2,457
2017-05-01,EE,IT2,50
2017-05-01,UE,IT2,10
2017-06-01,C,IT2,466
2017-06-01,EE,IT2,49
2017-06-01,UE,IT2,6
2017-07-01,C,IT2,460
2017-07-01,EE,IT2,45
2017-07-01,UE,IT2,12
2017-08-01,C,IT2,240
2017-08-01,EE,IT2,24
2017-08-01,UE,IT2,69
2017-09-01,C,IT2,341
2017-09-01,EE,IT2,25
2017-09-01,UE,IT2,7
2017-10-01,C,IT2,491
2017-10-01,EE,IT2,74
2017-10-01,UE,IT2,51
2017-11-01,C,IT2,575
2017-11-01,EE,IT2,23
2017-11-01,UE,IT2,29
2017-12-01,C,IT2,503
2017-12-01,EE,IT2,76
2017-12-01,UE,IT2,83
2018-01-01,C,IT2,556
2018-01-01,EE,IT2,36
2018-01-01,UE,IT2,51
2018-02-01,C,IT2,565
2018-02-01,EE,IT2,10
2018-02-01,UE,IT2,31
2018-03-01,C,IT2,604
2018-03-01,EE,IT2,31
2018-03-01,UE,IT2,100
2018-04-01,C,IT2,591
2018-04-01,EE,IT2,20
2018-04-01,UE,IT2,49
2018-05-01,C,IT2,636
2018-05-01,EE,IT2,40
2018-05-01,UE,IT2,46
2018-06-01,C,IT2,621
2018-06-01,EE,IT2,27
2018-06-01,UE,IT2,63
2018-07-01,C,IT2,559
2018-07-01,EE,IT2,35
2018-07-01,UE,IT2,35
2018-08-01,C,IT2,711
2018-08-01,EE,IT2,59
2018-08-01,UE,IT2,86
2018-09-01,C,IT2,427
2018-09-01,EE,IT2,47
2018-09-01,UE,IT2,48
2018-10-01,C,IT2,714
2018-10-01,EE,IT2,72
2018-10-01,UE,IT2,33
2018-11-01,C,IT2,498
2018-11-01,EE,IT2,57
2018-11-01,UE,IT2,73
2018-12-01,C,IT2,518
2018-12-01,EE,IT2,57
2018-12-01,UE,IT2,47
2019-01-01,C,IT2,502
2019-01-01,EE,IT2,122
2019-01-01,UE,IT2,50
2019-02-01,C,IT2,439
2019-02-01,EE,IT2,133
2019-02-01,UE,IT2,73
2019-03-01,C,IT2,502
2019-03-01,EE,IT2,40
2019-03-01,UE,IT2,176
