date,Value
2015-10-01,301
2015-11-01,219
2015-12-01,395
2016-01-01,337
2016-02-01,348
2016-03-01,348
2016-04-01,453
2016-05-01,627
2016-06-01,539
2016-07-01,785
2016-08-01,303
2016-11-01,299
2016-12-01,496
2017-01-01,449
2017-02-01,517
2017-03-01,122
2017-04-01,456
2017-05-01,517
2017-06-01,521
2017-07-01,517
2017-08-01,333
2017-09-01,373
2017-10-01,616
2017-11-01,627
2017-12-01,662
2018-01-01,643
2018-02-01,606
2018-03-01,735
2018-04-01,660
2018-05-01,722
2018-06-01,711
2018-07-01,629
2018-08-01,856
2018-09-01,522
2018-10-01,819
2018-11-01,628
2018-12-01,622
2019-01-01,674
2019-02-01,645
2019-03-01,718
