date,Status,Branch,Value
2015-10-01,C,SP3,34
2015-10-01,UE,SP3,3
2015-11-01,C,SP3,72
2015-11-01,UE,SP3,5
2015-12-01,C,SP3,112
2015-12-01,UE,SP3,7
2016-01-01,C,SP3,88
2016-01-01,UE,SP3,3
2016-02-01,C,SP3,114
2016-02-01,UE,SP3,6
2016-03-01,C,SP3,101
2016-03-01,UE,SP3,13
2016-04-01,C,SP3,102
2016-04-01,UE,SP3,11
2016-05-01,C,SP3,104
2016-05-01,UE,SP3,9
2016-06-01,C,SP3,111
2016-06-01,UE,SP3,4
2016-07-01,C,SP3,114
2016-08-01,C,SP3,48
2016-12-01,C,SP3,21
2016-12-01,UE,SP3,9
2017-01-01,C,SP3,82
2017-01-01,UE,SP3,20
2017-02-01,C,SP3,70
2017-02-01,EE,SP3,2
2017-02-01,UE,SP3,29
2017-03-01,C,SP3,5
2017-03-01,EE,SP3,1
2017-04-01,C,SP3,32
2017-04-01,UE,SP3,29
2017-05-01,C,SP3,106
2017-05-01,UE,SP3,7
2017-06-01,C,SP3,105
2017-06-01,UE,SP3,4
2017-07-01,C,SP3,92
2017-07-01,UE,SP3,5
2017-08-01,C,SP3,94
2017-08-01,UE,SP3,19
2017-09-01,C,SP3,90
2017-09-01,UE,SP3,4
2017-10-01,C,SP3,132
2017-10-01,UE,SP3,9
2017-11-01,C,SP3,156
2017-11-01,UE,SP3,5
2017-12-01,C,SP3,117
2017-12-01,UE,SP3,4
2018-01-01,C,SP3,172
2018-01-01,UE,SP3,15
2018-02-01,C,SP3,164
2018-02-01,UE,SP3,7
2018-03-01,C,SP3,93
2018-03-01,UE,SP3,7
2018-04-01,C,SP3,103
2018-04-01,UE,SP3,16
2018-05-01,C,SP3,93
2018-05-01,UE,SP3,6
2018-06-01,C,SP3,149
2018-06-01,UE,SP3,22
2018-07-01,C,SP3,150
2018-07-01,UE,SP3,37
2018-08-01,C,SP3,123
2018-08-01,UE,SP3,26
2018-09-01,C,SP3,151
2018-09-01,UE,SP3,9
2018-10-01,C,SP3,162
2018-10-01,UE,SP3,8
2018-11-01,C,SP3,152
2018-11-01,UE,SP3,5
2018-12-01,C,SP3,113
2018-12-01,UE,SP3,6
2019-01-01,C,SP3,210
2019-01-01,UE,SP3,5
2019-02-01,C,SP3,181
2019-02-01,UE,SP3,20
2019-03-01,C,SP3,221
2019-03-01,UE,SP3,12
2019-04-01,C,SP3,180
2019-04-01,UE,SP3,28
2019-05-01,C,SP3,169
2019-05-01,UE,SP3,20
