date,Value
2015-10-01,37
2015-11-01,77
2015-12-01,119
2016-01-01,91
2016-02-01,120
2016-03-01,114
2016-04-01,113
2016-05-01,113
2016-06-01,115
2016-07-01,114
2016-08-01,48
2016-12-01,30
2017-01-01,102
2017-02-01,101
2017-03-01,6
2017-04-01,61
2017-05-01,113
2017-06-01,109
2017-07-01,97
2017-08-01,113
2017-09-01,94
2017-10-01,141
2017-11-01,161
2017-12-01,121
2018-01-01,187
2018-02-01,171
2018-03-01,100
2018-04-01,119
2018-05-01,99
2018-06-01,171
2018-07-01,187
2018-08-01,149
2018-09-01,160
2018-10-01,170
2018-11-01,157
2018-12-01,119
2019-01-01,215
2019-02-01,201
2019-03-01,233
2019-04-01,208
2019-05-01,189
