date,Status,Value
2015-09-01,C,70
2015-09-01,UE,15
2015-10-01,C,1133
2015-10-01,UE,63
2015-11-01,C,1843
2015-11-01,EE,24
2015-11-01,UE,133
2015-12-01,C,2150
2015-12-01,EE,63
2015-12-01,UE,83
2016-01-01,C,3713
2016-01-01,EE,197
2016-01-01,UE,202
2016-02-01,C,4135
2016-02-01,EE,218
2016-02-01,UE,132
2016-03-01,C,4791
2016-03-01,EE,51
2016-03-01,UE,406
2016-04-01,C,6903
2016-04-01,EE,1282
2016-04-01,UE,1077
2016-05-01,C,12546
2016-05-01,EE,377
2016-05-01,UE,4269
2016-06-01,C,12175
2016-06-01,EE,1427
2016-06-01,UE,1591
2016-07-01,C,11842
2016-07-01,EE,1806
2016-07-01,UE,1305
2016-08-01,C,10938
2016-08-01,EE,1698
2016-08-01,UE,843
2016-11-01,C,3047
2016-11-01,EE,900
2016-11-01,UE,148
2016-12-01,C,9346
2016-12-01,EE,1924
2016-12-01,UE,346
2017-01-01,C,10748
2017-01-01,EE,2396
2017-01-01,UE,1085
2017-02-01,C,14317
2017-02-01,EE,2541
2017-02-01,UE,962
2017-03-01,C,2461
2017-03-01,EE,321
2017-03-01,UE,91
2017-04-01,C,12467
2017-04-01,EE,2660
2017-04-01,UE,600
2017-05-01,C,17247
2017-05-01,EE,3279
2017-05-01,UE,431
2017-06-01,C,17108
2017-06-01,EE,2312
2017-06-01,UE,271
2017-07-01,C,15036
2017-07-01,EE,2931
2017-07-01,UE,357
2017-08-01,C,12952
2017-08-01,EE,1891
2017-08-01,UE,421
2017-09-01,C,14391
2017-09-01,EE,1191
2017-09-01,UE,270
2017-10-01,C,18048
2017-10-01,EE,1549
2017-10-01,UE,635
2017-11-01,C,18105
2017-11-01,EE,1287
2017-11-01,UE,383
2017-12-01,C,13996
2017-12-01,EE,1437
2017-12-01,UE,1504
2018-01-01,C,19430
2018-01-01,EE,1607
2018-01-01,UE,855
2018-02-01,C,13935
2018-02-01,EE,1537
2018-02-01,UE,641
2018-03-01,C,18519
2018-03-01,EE,1718
2018-03-01,UE,2122
2018-04-01,C,17090
2018-04-01,EE,1424
2018-04-01,UE,1136
2018-05-01,C,18079
2018-05-01,EE,1483
2018-05-01,UE,795
2018-06-01,C,16465
2018-06-01,EE,1565
2018-06-01,UE,1186
2018-07-01,C,20307
2018-07-01,EE,1642
2018-07-01,UE,1288
2018-08-01,C,18354
2018-08-01,EE,1438
2018-08-01,UE,987
2018-09-01,C,17180
2018-09-01,EE,1589
2018-09-01,UE,705
2018-10-01,C,22658
2018-10-01,EE,1864
2018-10-01,UE,1012
2018-11-01,C,19651
2018-11-01,EE,1653
2018-11-01,UE,894
2018-12-01,C,18693
2018-12-01,EE,1555
2018-12-01,UE,764
2019-01-01,C,20345
2019-01-01,EE,1777
2019-01-01,UE,884
2019-02-01,C,14740
2019-02-01,EE,1936
2019-02-01,UE,2451
2019-03-01,C,21773
2019-03-01,EE,1916
2019-03-01,UE,1979
2019-04-01,C,20227
2019-04-01,EE,1839
2019-04-01,UE,1190
2019-05-01,C,21318
2019-05-01,EE,2045
2019-05-01,UE,933
2019-06-01,C,310
2019-06-01,UE,5
