date,Value
2015-09-01,85
2015-10-01,1196
2015-11-01,2000
2015-12-01,2296
2016-01-01,4112
2016-02-01,4485
2016-03-01,5248
2016-04-01,9262
2016-05-01,17192
2016-06-01,15193
2016-07-01,14953
2016-08-01,13479
2016-11-01,4095
2016-12-01,11616
2017-01-01,14229
2017-02-01,17820
2017-03-01,2873
2017-04-01,15727
2017-05-01,20957
2017-06-01,19691
2017-07-01,18324
2017-08-01,15264
2017-09-01,15852
2017-10-01,20232
2017-11-01,19775
2017-12-01,16937
2018-01-01,21892
2018-02-01,16113
2018-03-01,22359
2018-04-01,19650
2018-05-01,20357
2018-06-01,19216
2018-07-01,23237
2018-08-01,20779
2018-09-01,19474
2018-10-01,25534
2018-11-01,22198
2018-12-01,21012
2019-01-01,23006
2019-02-01,19127
2019-03-01,25668
2019-04-01,23256
2019-05-01,24296
2019-06-01,315
